"weeks";"days";"time";"location";"Activity";"Date";"Topic"
37;"Tuesday";"13:15 - 14:15";"online";"lectures";"2021-09-14";"Introduction"
38;"Tuesday";"13:15 - 14:15";"online";"lectures";"2021-09-21";"Factor Analysis (exploratory, EFA)"
42;"Tuesday";"13:15 - 14:15";"online";"lectures";"2021-10-19";"Mediation"
43;"Tuesday";"13:15 - 14:15";"online";"lectures";"2021-10-26";"Moderation"
44;"Tuesday";"13:15 - 14:15";"online";"lectures";"2021-11-02";NA
39;"Tuesday";"14:15 - 15:00";"online";"lectures";"2021-09-28";"Factor Analysis (confirmatory, CFA)"
41;"Tuesday";"14:15 - 15:00";"online";"lectures";"2021-10-12";"GLM: Means and SEM"
37;"Thursday";"10:00 - 12:45";"online";"tutorials";"2021-09-16";"Introduction"
38;"Thursday";"10:00 - 12:45";"online";"tutorials";"2021-09-23";"Factor Analysis (exploratory, EFA)"
39;"Thursday";"10:00 - 12:45";"online";"tutorials";"2021-09-30";"Factor Analysis (confirmatory, CFA)"
41;"Thursday";"10:00 - 12:45";"online";"tutorials";"2021-10-14";"GLM: Means and SEM"
42;"Thursday";"10:00 - 12:45";"online";"tutorials";"2021-10-21";"Mediation"
43;"Thursday";"10:00 - 12:45";"online";"tutorials";"2021-10-28";"Moderation"
44;"Thursday";"10:00 - 12:45";"online";"tutorials";"2021-11-04";NA
37;"Monday";"13:15 - 15:00";"online";"qna";"2021-09-13";"Introduction"
38;"Monday";"13:15 - 15:00";"online";"qna";"2021-09-20";"Factor Analysis (exploratory, EFA)"
39;"Monday";"13:15 - 15:00";"online";"qna";"2021-09-27";"Factor Analysis (confirmatory, CFA)"
41;"Monday";"13:15 - 15:00";"online";"qna";"2021-10-11";"GLM: Means and SEM"
42;"Monday";"13:15 - 15:00";"online";"qna";"2021-10-18";"Mediation"
43;"Monday";"13:15 - 15:00";"online";"qna";"2021-10-25";"Moderation"
44;"Monday";"13:15 - 15:00";"online";"qna";"2021-11-01";NA
40;"Tuesday";"18:00";"blackboard";"Exams";"2021-10-05";"Factor analysis, group"
43;"Tuesday";"18:00";"blackboard";"Exams";"2021-10-26";"Path analysis, group"
45;"Tuesday";"18:00";"blackboard";"Exams";"2021-11-09";"SEM, individual"
